App_name,Release_year,Recommend,Malo,Neutral,Positivo
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,1,0,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,1,0,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,1,0,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,0,1,0,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,1,0
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Counter-Strike,2000,1,0,0,1
Team Fortress Classic,1999,0,0,1,0
Team Fortress Classic,1999,0,0,1,0
Team Fortress Classic,1999,1,0,1,0
Team Fortress Classic,1999,1,0,1,0
Team Fortress Classic,1999,1,0,0,1
Team Fortress Classic,1999,1,0,1,0
Team Fortress Classic,1999,1,0,1,0
Team Fortress Classic,1999,1,0,1,0
Team Fortress Classic,1999,1,0,1,0
Team Fortress Classic,1999,1,0,1,0
Team Fortress Classic,1999,1,0,1,0
Team Fortress Classic,1999,1,0,0,1
Team Fortress Classic,1999,0,1,0,0
Team Fortress Classic,1999,0,0,1,0
Team Fortress Classic,1999,0,1,0,0
Day of Defeat,2003,1,0,1,0
Day of Defeat,2003,0,0,1,0
Day of Defeat,2003,1,0,0,1
Day of Defeat,2003,1,0,1,0
Deathmatch Classic,2001,1,0,0,1
Half-Life: Opposing Force,1999,0,0,1,0
Half-Life: Opposing Force,1999,1,0,1,0
Half-Life: Opposing Force,1999,1,0,1,0
Half-Life: Opposing Force,1999,1,0,0,1
Ricochet,2000,1,0,0,1
Ricochet,2000,1,0,1,0
Ricochet,2000,1,0,0,1
Ricochet,2000,1,1,0,0
Ricochet,2000,1,0,0,1
Ricochet,2000,1,0,1,0
Ricochet,2000,1,1,0,0
Ricochet,2000,1,0,1,0
Ricochet,2000,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,1,0,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,1,0,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,1,0,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,1,0,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,0,1
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
Half-Life,1998,1,0,1,0
